dia_semana,br,km,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,latitude,longitude,delegacia,classificacao_acidente,postos_policiais_PRF
quarta-feira,BR-116,179.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-22.76987,-43.40808,DEL01-RJ,Risco Médio,Alta
quarta-feira,BR-101,540.0,Plena Noite,Crescente,Chuva,Simples,Não Informado,-23.05467,-44.59038,DEL03-RJ,Risco Médio,Alta
segunda-feira,BR-381,445.0,Plena Noite,Crescente,Chuva,Simples,Curva,-19.82543,-43.8341,DEL01-MG,Risco Médio,Alta
terça-feira,BR-60,186.8,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-16.81867,-49.53198,DEL01-GO,Risco Alto,Média
terça-feira,BR-163,314.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-24.363,-54.147,DEL06-PR,Risco Baixo,Alta
domingo,BR-70,516.6,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-15.70206,-56.15671,DEL01-MT,Risco Médio,Baixa
terça-feira,BR-116,194.0,Plena Noite,Decrescente,Nublado,Dupla,Não Informado,-23.38436,-46.26443,DEL02-SP,Risco Médio,Alta
quarta-feira,BR-230,120.0,Plena Noite,Decrescente,Nublado,Dupla,Curva,-5.351785,-49.12098,DEL03-PA,Risco Médio,Baixa
segunda-feira,BR-163,823.0,Pleno dia,Decrescente,Sol,Simples,Não Informado,-11.96421,-55.51712,DEL06-MT,Risco Médio,Alta
domingo,BR-470,176.0,Plena Noite,Decrescente,Céu Claro,Simples,Não Informado,-27.25188,-50.01938,DEL04-SC,Risco Médio,Baixa
terça-feira,BR-319,62.0,Pleno dia,Decrescente,Nublado,Múltipla,Reta,-8.766685,-63.88405,DEL01-RO,Risco Médio,Baixa
segunda-feira,BR-290,353.0,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-30.37643,-53.71074,DEL09-RS,Risco Médio,Baixa
quinta-feira,BR-135,23.5,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-2.551139,-44.30696,DEL01-MA,Risco Baixo,Baixa
domingo,BR-174,173.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,0.601002,-60.46169,DEL01-RR,Risco Médio,Baixa
terça-feira,BR-40,532.8,Pleno dia,Crescente,Céu Claro,Dupla,Não Informado,-19.92373,-44.01701,DEL01-MG,Risco Médio,Alta
terça-feira,BR-282,16.2,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-27.65861,-48.68185,DEL01-SC,Risco Médio,Baixa
segunda-feira,BR-262,747.3,Pleno dia,Decrescente,Nublado,Simples,Reta,-19.62382,-47.4861,DEL13-MG,Risco Médio,Média
domingo,BR-290,580.0,Plena Noite,Decrescente,Nublado,Simples,Não Informado,-29.80499,-55.77748,DEL13-RS,Risco Baixo,Baixa
sábado,BR-277,309.0,Pleno dia,Decrescente,Chuva,Simples,Curva,-25.3074,-51.21097,DEL03-PR,Risco Baixo,Média
quarta-feira,BR-116,738.7,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-14.38391,-40.34716,DEL08-BA,Risco Médio,Alta
quarta-feira,BR-282,113.0,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-27.74034,-49.38419,DEL01-SC,Risco Médio,Baixa
domingo,BR-101,74.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-8.101465,-34.94902,DEL01-PE,Risco Médio,Alta
sábado,BR-324,583.0,Amanhecer,Decrescente,Nublado,Dupla,Reta,-12.62878,-38.47953,DEL01-BA,Risco Médio,Baixa
sábado,BR-101,137.0,Anoitecer,Decrescente,Nublado,Múltipla,Reta,-27.01572,-48.61193,DEL04-SC,Risco Baixo,Alta
segunda-feira,BR-381,823.0,Plena Noite,Decrescente,Chuva,Dupla,Reta,-22.0973,-45.71703,DEL16-MG,Risco Médio,Alta
quinta-feira,BR-364,227.5,Pleno dia,Crescente,Céu Claro,Dupla,Não Informado,-16.28205,-54.76703,DEL02-MT,Risco Baixo,Alta
quarta-feira,BR-40,514.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-19.80152,-44.1,DEL01-MG,Risco Médio,Alta
sábado,BR-101,88.9,Plena Noite,Decrescente,Nublado,Simples,Reta,-8.2073,-34.9836,DEL01-PE,Risco Médio,Alta
sexta-feira,BR-60,96.0,Pleno dia,Decrescente,Chuva,Simples,Reta,-16.37044,-48.9416,DEL02-GO,Risco Baixo,Média
quinta-feira,BR-116,140.3,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-23.16578,-45.81246,DEL06-SP,Risco Baixo,Alta
segunda-feira,BR-470,213.0,Plena Noite,Crescente,Céu Claro,Simples,Túnel,-29.1387,-51.54271,DEL06-RS,Risco Médio,Baixa
sexta-feira,BR-101,125.0,Pleno dia,Crescente,Sol,Simples,Reta,-6.07238,-35.23552,DEL01-RN,Risco Médio,Alta
terça-feira,BR-116,99.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-29.991,-51.2302,DEL05-RS,Risco Médio,Alta
quarta-feira,BR-101,9.0,Pleno dia,Crescente,Chuva,Dupla,Reta,-10.27168,-36.8699,DEL02-SE,Risco Médio,Alta
quinta-feira,BR-262,594.0,Pleno dia,Decrescente,Nublado,Simples,Rotatória,-19.66568,-46.16902,DEL08-MG,Risco Médio,Média
terça-feira,BR-405,156.7,Pleno dia,Decrescente,Sol,Simples,Reta,-6.158541,-38.20774,DEL04-RN,Risco Baixo,Baixa
domingo,BR-304,33.0,Pleno dia,Crescente,Chuva,Dupla,Reta,-5.148076,-37.3476,DEL04-RN,Risco Médio,Baixa
sexta-feira,BR-158,145.7,Pleno dia,Decrescente,Chuva,Simples,Reta,-28.24135,-53.48066,DEL10-RS,Risco Médio,Baixa
sábado,BR-470,53.1,Plena Noite,Crescente,Nublado,Simples,Rotatória,-26.86243,-49.08488,DEL04-SC,Risco Médio,Baixa
sábado,BR-381,564.0,Amanhecer,Decrescente,Chuva,Dupla,Curva,-20.3874,-44.4912,DEL04-MG,Risco Baixo,Alta
domingo,BR-116,173.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-22.7981,-43.35727,DEL01-RJ,Risco Baixo,Alta
segunda-feira,BR-230,40.0,Plena Noite,Decrescente,Céu Claro,Dupla,Desvio Temporário,-7.141649,-34.97813,DEL01-PB,Risco Baixo,Baixa
domingo,BR-493,10.0,Amanhecer,Crescente,Chuva,Simples,Reta,-22.69546,-42.95667,DEL04-RJ,Risco Médio,Baixa
terça-feira,BR-101,94.0,Plena Noite,Decrescente,Nublado,Dupla,Retorno Regulamentado,-10.90471,-37.14851,DEL01-SE,Risco Médio,Alta
sexta-feira,BR-235,204.2,Pleno dia,Crescente,Céu Claro,Simples,Interseção de vias,-8.950702,-48.49931,DEL02-TO,Risco Médio,Baixa
terça-feira,BR-470,172.1,Amanhecer,Decrescente,Nublado,Simples,Reta,-27.25753,-49.90959,DEL04-SC,Risco Médio,Baixa
sexta-feira,BR-153,679.3,Pleno dia,Decrescente,Céu Claro,Simples,Não Informado,-11.78392,-49.11469,DEL02-TO,Risco Médio,Alta
quinta-feira,BR-376,539.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-25.36636,-49.823,DEL01-PR,Risco Baixo,Baixa
domingo,BR-153,507.7,Amanhecer,Crescente,Garoa/Chuvisco,Múltipla,Desvio Temporário,-16.76896,-49.23933,DEL01-GO,Risco Baixo,Alta
quinta-feira,BR-40,522.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-19.86387,-44.0675,DEL01-MG,Risco Médio,Alta
terça-feira,BR-50,248.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-17.9522,-47.7883,DEL06-GO,Risco Médio,Média
sexta-feira,BR-277,644.0,Pleno dia,Crescente,Céu Claro,Simples,Reta,-25.17363,-53.88602,DEL05-PR,Risco Médio,Média
sexta-feira,BR-101,77.7,Pleno dia,Crescente,Sol,Dupla,Reta,-8.126982,-34.94386,DEL01-PE,Risco Médio,Alta
quarta-feira,BR-376,4.2,Pleno dia,Decrescente,Céu Claro,Simples,Interseção de vias,-22.223,-54.6679,DEL04-MS,Risco Baixo,Baixa
segunda-feira,BR-424,76.2,Pleno dia,Crescente,Céu Claro,Simples,Reta,-8.809965,-36.57629,DEL03-PE,Risco Médio,Baixa
segunda-feira,BR-153,240.0,Pleno dia,Crescente,Céu Claro,Simples,Reta,-7.994203,-48.46468,DEL02-TO,Risco Alto,Alta
domingo,BR-101,204.5,Plena Noite,Decrescente,Nublado,Múltipla,Reta,-27.57413,-48.61363,DEL01-SC,Risco Médio,Alta
terça-feira,BR-163,351.0,Pleno dia,Decrescente,Chuva,Simples,Reta,-24.06803,-54.25049,DEL06-PR,Risco Médio,Alta
terça-feira,BR-101,293.0,Pleno dia,Crescente,Céu Claro,Simples,Curva,-13.32192,-39.35923,DEL01-BA,Risco Baixo,Alta
terça-feira,BR-101,214.4,Plena Noite,Crescente,Céu Claro,Simples,Reta,-27.64443,-48.67057,DEL01-SC,Risco Médio,Alta
domingo,BR-101,262.1,Plena Noite,Crescente,Céu Claro,Dupla,Desvio Temporário,-20.15904,-40.27642,DEL02-ES,Risco Médio,Alta
quarta-feira,BR-101,101.0,Pleno dia,Crescente,Chuva,Dupla,Reta,-7.27367,-34.93816,DEL01-PB,Risco Baixo,Alta
domingo,BR-259,59.0,Pleno dia,Crescente,Céu Claro,Simples,Reta,-19.52125,-40.66594,DEL02-ES,Risco Baixo,Baixa
segunda-feira,BR-101,117.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-19.1399,-40.0732,DEL04-ES,Risco Médio,Alta
quarta-feira,BR-232,174.8,Amanhecer,Decrescente,Chuva,Simples,Reta,-8.339786,-36.37821,DEL02-PE,Risco Alto,Baixa
sexta-feira,BR-290,127.0,Plena Noite,Crescente,Nublado,Simples,Reta,-30.05642,-51.47967,DEL02-RS,Risco Médio,Baixa
quinta-feira,BR-116,236.0,Pleno dia,Crescente,Sol,Dupla,Reta,-22.66633,-43.84705,DEL07-RJ,Risco Baixo,Alta
sábado,BR-373,431.2,Pleno dia,Decrescente,Garoa/Chuvisco,Simples,Reta,-25.74775,-52.24359,DEL02-PR,Risco Alto,Baixa
domingo,BR-153,2.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-23.02856,-49.91495,DEL07-PR,Risco Médio,Alta
sexta-feira,BR-163,512.7,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-20.22783,-54.47718,DEL01-MS,Risco Médio,Alta
sexta-feira,BR-153,673.9,Pleno dia,Crescente,Céu Claro,Simples,Reta,-11.74596,-49.08518,DEL01-TO,Risco Médio,Alta
domingo,BR-40,100.0,Pleno dia,Crescente,Céu Claro,Simples,Reta,-22.59405,-43.2808,DEL06-RJ,Risco Médio,Alta
sexta-feira,BR-101,207.0,Anoitecer,Decrescente,Céu Claro,Dupla,Reta,-27.60001,-48.62265,DEL01-SC,Risco Médio,Alta
terça-feira,BR-116,624.6,Plena Noite,Decrescente,Nublado,Simples,Reta,-32.33909,-53.15747,DEL07-RS,Risco Alto,Alta
sábado,BR-70,515.0,Pleno dia,Crescente,Nublado,Simples,Reta,-15.70832,-56.13104,DEL01-MT,Risco Alto,Baixa
sábado,BR-116,251.6,Pleno dia,Crescente,Céu Claro,Simples,Curva,-17.65138,-41.49335,DEL11-MG,Risco Médio,Alta
segunda-feira,BR-324,512.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-12.23184,-38.95457,DEL02-BA,Risco Médio,Baixa
segunda-feira,BR-40,426.8,Plena Noite,Crescente,Nublado,Dupla,Não Informado,-19.17424,-44.50831,DEL02-MG,Risco Médio,Alta
domingo,BR-280,102.1,Anoitecer,Crescente,Chuva,Simples,Curva,-26.36503,-49.34191,DEL06-SC,Risco Médio,Baixa
terça-feira,BR-381,338.0,Plena Noite,Decrescente,Ignorado,Simples,Curva,-19.82924,-43.08945,DEL03-MG,Risco Médio,Alta
quinta-feira,BR-364,586.8,Amanhecer,Decrescente,Garoa/Chuvisco,Dupla,Reta,-14.5384,-56.23132,DEL01-MT,Risco Baixo,Alta
domingo,BR-259,25.4,Plena Noite,Crescente,Céu Claro,Simples,Curva,-19.61948,-40.47748,DEL02-ES,Risco Médio,Baixa
domingo,BR-116,275.4,Plena Noite,Crescente,Céu Claro,Dupla,Reta,-23.62007,-46.811,DEL04-SP,Risco Médio,Alta
sexta-feira,BR-116,347.0,Pleno dia,Decrescente,Chuva,Dupla,Não Informado,-24.04699,-47.19706,DEL04-SP,Risco Médio,Alta
domingo,BR-101,135.2,Pleno dia,Crescente,Nublado,Simples,Reta,-27.00501,-48.62677,DEL04-SC,Risco Médio,Alta
terça-feira,BR-116,178.6,Pleno dia,Crescente,Céu Claro,Simples,Interseção de vias,-5.042383,-38.092,DEL03-CE,Risco Médio,Alta
quarta-feira,BR-101,154.3,Pleno dia,Decrescente,Sol,Múltipla,Reta,-27.15382,-48.61086,DEL04-SC,Risco Médio,Alta
terça-feira,BR-435,85.1,Pleno dia,Crescente,Céu Claro,Simples,Reta,-13.11885,-60.53173,DEL04-RO,Risco Médio,Baixa
segunda-feira,BR-316,11.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-1.355656,-48.34232,DEL01-PA,Risco Médio,Baixa
segunda-feira,BR-101,45.7,Pleno dia,Crescente,Nublado,Dupla,Reta,-9.202512,-35.78757,DEL01-AL,Risco Baixo,Alta
terça-feira,BR-230,120.5,Plena Noite,Crescente,Céu Claro,Dupla,Reta,-7.245683,-35.65238,DEL02-PB,Risco Médio,Baixa
quinta-feira,BR-158,514.6,Pleno dia,Crescente,Nublado,Simples,Reta,-30.64185,-55.11159,DEL11-RS,Risco Médio,Baixa
sábado,BR-423,131.5,Pleno dia,Crescente,Céu Claro,Simples,Curva,-8.959244,-36.7648,DEL03-PE,Risco Médio,Baixa
terça-feira,BR-158,315.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-29.65415,-53.77083,DEL09-RS,Risco Médio,Baixa
domingo,BR-116,527.0,Pleno dia,Crescente,Nublado,Simples,Não Informado,-12.71201,-39.7368,DEL03-BA,Risco Médio,Alta
terça-feira,BR-101,66.0,Pleno dia,Crescente,Sol,Dupla,Viaduto,-8.033685,-34.94184,DEL01-PE,Risco Médio,Alta
terça-feira,BR-163,145.5,Pleno dia,Crescente,Céu Claro,Simples,Reta,-22.99506,-54.39465,DEL09-MS,Risco Médio,Alta
quinta-feira,BR-116,124.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-25.62151,-49.31626,DEL01-PR,Risco Médio,Alta
domingo,BR-262,107.0,Plena Noite,Crescente,Chuva,Simples,Curva,-20.2744,-42.56313,DEL03-MG,Risco Médio,Média
domingo,BR-174,13.0,Plena Noite,Decrescente,Céu Claro,Dupla,Interseção de vias,-12.7414,-60.13026,DEL04-RO,Risco Médio,Baixa
segunda-feira,BR-20,145.0,Pleno dia,Decrescente,Chuva,Simples,Desvio Temporário,-12.67843,-45.93061,DEL10-BA,Risco Médio,Baixa
sexta-feira,BR-116,820.8,Plena Noite,Decrescente,Céu Claro,Simples,Não Informado,-14.8353,-40.84045,DEL08-BA,Risco Alto,Alta
sábado,BR-153,34.0,Pleno dia,Decrescente,Nublado,Dupla,Curva,-18.7089,-49.1391,DEL15-MG,Risco Médio,Alta
sábado,BR-40,756.0,Plena Noite,Crescente,Céu Claro,Simples,Curva,-21.5344,-43.5128,DEL05-MG,Risco Médio,Alta
segunda-feira,BR-101,715.0,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-16.3467,-39.5804,DEL09-BA,Risco Médio,Alta
sexta-feira,BR-401,163.0,Plena Noite,Crescente,Nublado,Simples,Reta,3.759944,-59.78842,DEL01-RR,Risco Médio,Baixa
domingo,BR-376,666.0,Plena Noite,Decrescente,Céu Claro,Dupla,Não Informado,-25.8644,-48.9499,DEL01-PR,Risco Baixo,Baixa
quarta-feira,BR-381,892.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-22.60215,-46.05862,DEL16-MG,Risco Médio,Alta
sexta-feira,BR-104,56.0,Plena Noite,Crescente,Céu Claro,Simples,Curva,-9.291148,-35.9607,DEL01-AL,Risco Médio,Baixa
quinta-feira,BR-232,8.0,Pleno dia,Decrescente,Chuva,Dupla,Reta,-8.075837,-34.97016,DEL01-PE,Risco Baixo,Baixa
sábado,BR-101,83.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-8.175172,-34.94264,DEL01-PE,Risco Médio,Alta
quarta-feira,BR-364,380.0,Anoitecer,Crescente,Chuva,Simples,Reta,-15.70279,-55.78199,DEL02-MT,Risco Médio,Alta
segunda-feira,BR-369,362.0,Pleno dia,Crescente,Céu Claro,Dupla,Retorno Regulamentado,-23.49072,-51.42344,DEL04-PR,Risco Médio,Baixa
domingo,BR-235,14.5,Plena Noite,Crescente,Nublado,Simples,Curva,-10.86222,-37.17863,DEL01-SE,Risco Baixo,Baixa
domingo,BR-262,189.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-20.31436,-41.73037,DEL01-ES,Risco Baixo,Média
quinta-feira,BR-153,65.0,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-13.3807,-49.1274,DEL07-GO,Risco Médio,Alta
quinta-feira,BR-101,391.0,Anoitecer,Crescente,Nublado,Dupla,Reta,-22.89483,-43.68492,DEL01-RJ,Risco Médio,Alta
quinta-feira,BR-101,590.9,Pleno dia,Crescente,Nublado,Simples,Curva,-15.42994,-39.44669,DEL05-BA,Risco Médio,Alta
quinta-feira,BR-70,22.6,Anoitecer,Crescente,Céu Claro,Dupla,Reta,-15.73777,-48.39276,DEL01-DF,Risco Médio,Baixa
quinta-feira,BR-101,374.8,Plena Noite,Decrescente,Céu Claro,Dupla,Não Informado,-28.7207,-49.23729,DEL02-SC,Risco Médio,Alta
domingo,BR-469,15.4,Plena Noite,Crescente,Céu Claro,Simples,Não Informado,-25.58209,-54.5271,DEL05-PR,Risco Baixo,Baixa
quinta-feira,BR-230,121.0,Anoitecer,Decrescente,Céu Claro,Dupla,Interseção de vias,-5.352974,-49.12144,DEL03-PA,Risco Médio,Baixa
segunda-feira,BR-101,146.8,Anoitecer,Crescente,Nublado,Simples,Reta,-27.09107,-48.61571,DEL04-SC,Risco Médio,Alta
sexta-feira,BR-282,4.5,Plena Noite,Decrescente,Nublado,Múltipla,Reta,-27.59265,-48.60403,DEL01-SC,Risco Médio,Baixa
sexta-feira,BR-470,67.0,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-26.87216,-49.23127,DEL04-SC,Risco Médio,Baixa
terça-feira,BR-116,665.6,Pleno dia,Decrescente,Nublado,Simples,Reta,-20.82714,-42.32224,DEL07-MG,Risco Médio,Alta
sábado,BR-365,714.0,Pleno dia,Crescente,Nublado,Simples,Reta,-18.87985,-49.12576,DEL15-MG,Risco Médio,Média
domingo,BR-232,422.4,Pleno dia,Crescente,Céu Claro,Simples,Reta,-8.001183,-38.42959,DEL04-PE,Risco Médio,Baixa
quinta-feira,BR-319,63.0,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,-8.766685,-63.88405,DEL01-RO,Risco Baixo,Baixa
quarta-feira,BR-116,505.8,Plena Noite,Decrescente,Nublado,Dupla,Reta,-24.79028,-48.21075,DEL05-SP,Risco Baixo,Alta
sexta-feira,BR-280,33.2,Pleno dia,Crescente,Nublado,Simples,Reta,-26.42577,-48.78742,DEL03-SC,Risco Médio,Baixa
sábado,BR-222,3.9,Plena Noite,Crescente,Nublado,Múltipla,Reta,-3.740377,-38.59569,DEL01-CE,Risco Médio,Baixa
terça-feira,BR-277,120.0,Pleno dia,Decrescente,Nublado,Dupla,Reta,-25.43949,-49.55327,DEL01-PR,Risco Baixo,Média
domingo,BR-290,79.0,Plena Noite,Crescente,Céu Claro,Dupla,Curva,-29.95291,-51.04805,DEL01-RS,Risco Baixo,Baixa
sábado,BR-467,82.4,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,-24.80581,-53.67154,DEL04-PR,Risco Médio,Baixa
sábado,BR-101,407.7,Plena Noite,Crescente,Céu Claro,Dupla,Viaduto,-22.8802,-43.82323,DEL03-RJ,Risco Médio,Alta
domingo,BR-163,485.4,Plena Noite,Crescente,Nublado,Simples,Interseção de vias,-20.44234,-54.54202,DEL01-MS,Risco Médio,Alta
domingo,BR-381,59.6,Pleno dia,Crescente,Nublado,Dupla,Não Informado,-23.28271,-46.58788,DEL03-SP,Risco Médio,Alta
sábado,BR-324,469.6,Anoitecer,Crescente,Céu Claro,Simples,Reta,-11.96152,-39.15309,DEL02-BA,Risco Alto,Baixa
sexta-feira,BR-262,390.0,Plena Noite,Crescente,Céu Claro,Dupla,Não Informado,-19.91449,-44.49866,DEL01-MG,Risco Médio,Média
quarta-feira,BR-40,437.4,Plena Noite,Crescente,Céu Claro,Dupla,Reta,-19.231,-44.43562,DEL02-MG,Risco Alto,Alta
sábado,BR-153,502.0,Pleno dia,Decrescente,Sol,Dupla,Não Informado,-16.7189,-49.2382,DEL01-GO,Risco Baixo,Alta
sexta-feira,BR-470,125.9,Pleno dia,Decrescente,Céu Claro,Simples,Não Informado,-27.11609,-49.53249,DEL04-SC,Risco Baixo,Baixa
quarta-feira,BR-101,164.0,Amanhecer,Crescente,Nublado,Dupla,Reta,-12.35551,-38.78248,DEL01-BA,Risco Médio,Alta
quarta-feira,BR-153,103.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-21.03114,-49.64642,DEL09-SP,Risco Médio,Alta
terça-feira,BR-116,106.1,Pleno dia,Crescente,Céu Claro,Simples,Reta,-4.55985,-38.26127,DEL03-CE,Risco Baixo,Alta
domingo,BR-40,43.2,Pleno dia,Decrescente,Nublado,Dupla,Não Informado,-22.27172,-43.11026,DEL06-RJ,Risco Médio,Alta
sexta-feira,BR-316,310.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-7.076392,-41.47475,DEL04-PI,Risco Alto,Baixa
terça-feira,BR-316,207.6,Pleno dia,Crescente,Céu Claro,Simples,Curva,-9.5585,-36.27068,DEL01-AL,Risco Médio,Baixa
terça-feira,BR-381,68.0,Pleno dia,Crescente,Céu Claro,Dupla,Curva,-23.34415,-46.5731,DEL03-SP,Risco Médio,Alta
sexta-feira,BR-364,564.0,Pleno dia,Crescente,Céu Claro,Simples,Reta,-9.507445,-63.07957,DEL03-RO,Risco Médio,Alta
sexta-feira,BR-116,702.0,Anoitecer,Decrescente,Garoa/Chuvisco,Simples,Curva,-14.08518,-40.21439,DEL03-BA,Risco Médio,Alta
terça-feira,BR-381,175.6,Plena Noite,Crescente,Céu Claro,Simples,Reta,-18.9806,-42.10246,DEL06-MG,Risco Médio,Alta
terça-feira,BR-364,313.9,Plena Noite,Crescente,Céu Claro,Simples,Reta,-11.12733,-61.90124,DEL02-RO,Risco Médio,Alta
quarta-feira,BR-116,160.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-23.27,-45.9662,DEL02-SP,Risco Baixo,Alta
quinta-feira,BR-324,569.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-12.59234,-38.51914,DEL01-BA,Risco Médio,Baixa
sábado,BR-40,747.6,Pleno dia,Decrescente,Céu Claro,Simples,Não Informado,-21.43287,-43.55222,DEL05-MG,Risco Médio,Alta
quinta-feira,BR-316,583.0,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-4.9728,-43.1082,DEL03-MA,Risco Médio,Baixa
terça-feira,BR-470,59.0,Pleno dia,Crescente,Chuva,Simples,Retorno Regulamentado,-26.88109,-49.13747,DEL04-SC,Risco Médio,Baixa
quinta-feira,BR-232,237.8,Plena Noite,Decrescente,Céu Claro,Simples,Desvio Temporário,-8.414692,-36.93267,DEL03-PE,Risco Médio,Baixa
sábado,BR-101,427.2,Plena Noite,Crescente,Nublado,Simples,Curva,-20.91465,-41.19869,DEL03-ES,Risco Alto,Alta
sábado,BR-407,126.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-9.384913,-40.5281,DEL06-PE,Risco Médio,Baixa
sábado,BR-110,49.9,Pleno dia,Decrescente,Nublado,Dupla,Reta,-5.219105,-37.3276,DEL04-RN,Risco Médio,Baixa
domingo,BR-232,81.9,Amanhecer,Crescente,Céu Claro,Dupla,Reta,-8.196977,-35.5785,DEL02-PE,Risco Alto,Baixa
sexta-feira,BR-262,98.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-20.35624,-41.08499,DEL01-ES,Risco Médio,Média
domingo,BR-393,181.0,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-22.12695,-43.23513,DEL05-RJ,Risco Médio,Média
segunda-feira,BR-304,49.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-5.236461,-37.3175,DEL04-RN,Risco Médio,Baixa
sexta-feira,BR-70,673.0,Pleno dia,Crescente,Chuva,Simples,Reta,-16.13906,-57.3301,DEL03-MT,Risco Médio,Baixa
sábado,BR-101,205.9,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,-27.58313,-48.61533,DEL01-SC,Risco Baixo,Alta
segunda-feira,BR-40,532.0,Anoitecer,Decrescente,Nublado,Dupla,Reta,-19.92373,-44.01701,DEL01-MG,Risco Médio,Alta
quarta-feira,BR-101,248.0,Amanhecer,Decrescente,Chuva,Dupla,Reta,-27.92619,-48.65828,DEL02-SC,Risco Médio,Alta
sexta-feira,BR-116,227.9,Plena Noite,Decrescente,Céu Claro,Dupla,Curva,-22.66756,-43.843,DEL07-RJ,Risco Baixo,Alta
sexta-feira,BR-116,3.1,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,-3.778665,-38.5149,DEL01-CE,Risco Médio,Alta
quarta-feira,BR-392,20.1,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-32.08573,-52.1969,DEL07-RS,Risco Médio,Média
terça-feira,BR-163,609.9,Plena Noite,Crescente,Céu Claro,Simples,Reta,-13.78149,-56.06049,DEL01-MT,Risco Baixo,Alta
terça-feira,BR-282,72.1,Pleno dia,Crescente,Céu Claro,Simples,Não Informado,-27.68317,-49.10635,DEL01-SC,Risco Baixo,Baixa
quarta-feira,BR-101,39.0,Plena Noite,Crescente,Garoa/Chuvisco,Dupla,Curva,-29.53294,-50.01957,DEL03-RS,Risco Baixo,Alta
sexta-feira,BR-470,224.9,Plena Noite,Decrescente,Garoa/Chuvisco,Simples,Curva,-27.31991,-50.33639,DEL05-SC,Risco Médio,Baixa
segunda-feira,BR-364,699.0,Pleno dia,Crescente,Garoa/Chuvisco,Dupla,Reta,-8.800551,-63.76826,DEL01-RO,Risco Médio,Alta
domingo,BR-70,506.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-15.66089,-55.97312,DEL02-MT,Risco Médio,Baixa
sábado,BR-101,269.7,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,-20.2174,-40.26991,DEL02-ES,Risco Baixo,Alta
sexta-feira,BR-101,846.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-17.4873,-39.70591,DEL09-BA,Risco Alto,Alta
quarta-feira,BR-316,6.8,Pleno dia,Crescente,Sol,Simples,Reta,-5.147021,-42.77439,DEL01-PI,Risco Médio,Baixa
terça-feira,BR-116,51.5,Pleno dia,Crescente,Nublado,Dupla,Reta,-22.74158,-45.09206,DEL08-SP,Risco Médio,Alta
terça-feira,BR-163,41.4,Pleno dia,Crescente,Garoa/Chuvisco,Simples,Reta,-26.02143,-53.7314,DEL02-PR,Risco Médio,Alta
quinta-feira,BR-364,446.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-10.3219,-62.62499,DEL03-RO,Risco Médio,Alta
quinta-feira,BR-242,770.0,Pleno dia,Decrescente,Chuva,Simples,Reta,-12.15728,-44.83845,DEL10-BA,Risco Médio,Baixa
